Filename,PCU_A4_NA_5
Instrument name,RSAG2
Operator,
rundate,9/18/2018
proceduresegments,Flow Axial Test
[step]
Axial - 1
Step time,Temperature,Strain,Stress,Modulus,Delta length,Gap,Force,Axial force
s,°C,%,Pa,Pa,mm,mm,N,N
5.16609e-3,21.980,0.00000,-339567,,0.000,6.366,-0.941279,0.0182677
0.0151663,21.980,0.00000,-338875,,0.000,6.366,-0.939360,0.0182677
0.0251665,21.980,0.00000,-338690,,0.000,6.366,-0.938848,0.0182677
0.0351668,21.980,0.00000,-338729,,0.000,6.366,-0.938956,0.0182677
0.0451670,21.980,0.00000,-338361,,0.000,6.366,-0.937937,0.0182677
0.0551672,21.980,0.00000,-338371,,0.000,6.366,-0.937964,0.0182677
0.0651675,21.980,0.00000,-339506,,0.000,6.366,-0.941112,0.0182677
0.0751658,21.980,0.00000,-339316,,0.000,6.366,-0.940584,0.0182677
0.0851660,21.979,6.14216e-4,-338807,-5.51609e10,3.910e-5,6.366,-0.939174,0.0189030
0.0951662,21.979,6.14216e-4,-339192,-5.52235e10,3.910e-5,6.366,-0.940240,0.0189030
0.105166,21.979,6.14216e-4,-338966,-5.51868e10,3.910e-5,6.366,-0.939615,0.0189030
0.115167,21.979,6.14216e-4,-338658,-5.51367e10,3.910e-5,6.366,-0.938761,0.0189030
0.125167,21.979,6.21706e-4,-339361,-5.45854e10,3.958e-5,6.366,-0.940708,0.0189030
0.135167,21.979,6.21706e-4,-339406,-5.45927e10,3.958e-5,6.366,-0.940835,0.0189030
0.145167,21.979,6.21706e-4,-345672,-5.56004e10,3.958e-5,6.366,-0.958201,0.0189030
0.155168,21.979,0.0117450,-346532,-2.95046e9,7.477e-4,6.367,-0.960586,0.0189030
0.165166,21.979,0.0537364,-353669,-6.58155e8,3.421e-3,6.369,-0.980371,0.0189030
0.175166,21.979,0.102994,-357890,-3.47488e8,6.557e-3,6.372,-0.992072,0.0189030
0.185166,21.979,0.177726,-363566,-2.04566e8,0.01131,6.377,-1.00781,-0.120173
0.195167,21.979,0.252712,-371149,-1.46866e8,0.01609,6.382,-1.02883,-0.120173
0.205167,21.979,0.339669,-377588,-1.11163e8,0.02162,6.388,-1.04667,-0.120173
0.215167,21.979,0.434213,-383169,-8.82445e7,0.02764,6.394,-1.06214,-0.120173
0.225167,21.979,0.554352,-388946,-7.01623e7,0.03529,6.401,-1.07816,-0.120173
0.235168,21.979,0.662275,-395367,-5.96984e7,0.04216,6.408,-1.09596,-0.120173
0.245166,21.979,0.844682,-401471,-4.75293e7,0.05377,6.420,-1.11288,-0.120173
0.255166,21.979,0.964162,-407411,-4.22555e7,0.06138,6.427,-1.12934,-0.120173
0.265166,21.979,1.08656,-413894,-3.80923e7,0.06917,6.435,-1.14731,-0.120173
0.275167,21.979,1.21090,-420145,-3.46970e7,0.07709,6.443,-1.16464,-0.120173
0.285167,21.978,1.32167,-424210,-3.20966e7,0.08414,6.450,-1.17591,-0.120173
0.295167,21.978,1.43158,-430044,-3.00398e7,0.09113,6.457,-1.19208,-0.120173
0.305167,21.978,1.60617,-436486,-2.71756e7,0.1022,6.468,-1.20994,-0.120173
0.315167,21.978,1.76474,-441644,-2.50260e7,0.1123,6.478,-1.22424,-0.120173
0.325166,21.978,1.93826,-447072,-2.30657e7,0.1234,6.489,-1.23928,-0.120173
0.335166,21.978,2.08622,-453670,-2.17460e7,0.1328,6.499,-1.25757,-0.120173
0.345166,21.978,2.24799,-458084,-2.03775e7,0.1431,6.509,-1.26981,-0.120173
0.355166,21.978,2.38445,-463000,-1.94175e7,0.1518,6.518,-1.28344,-0.120173
0.365167,21.978,2.52145,-469095,-1.86042e7,0.1605,6.526,-1.30033,-0.120173
0.375167,21.978,2.74062,-474559,-1.73158e7,0.1745,6.540,-1.31548,-0.120173
0.385167,21.979,2.85760,-478996,-1.67622e7,0.1819,6.548,-1.32778,-0.347593
0.395167,21.979,3.01391,-484937,-1.60900e7,0.1919,6.558,-1.34425,-0.347593
0.405168,21.979,3.15225,-490981,-1.55756e7,0.2007,6.567,-1.36100,-0.347593
0.415166,21.979,3.29071,-495435,-1.50556e7,0.2095,6.575,-1.37335,-0.347593
0.425166,21.979,3.44578,-500418,-1.45226e7,0.2194,6.585,-1.38716,-0.347593
0.435166,21.979,3.65082,-506240,-1.38665e7,0.2324,6.598,-1.40330,-0.347593
0.445167,21.979,3.78908,-510956,-1.34849e7,0.2412,6.607,-1.41637,-0.347593
0.455167,21.979,3.95465,-516281,-1.30550e7,0.2518,6.618,-1.43113,-0.347593
0.465167,21.979,4.09376,-521605,-1.27415e7,0.2606,6.627,-1.44589,-0.347593
0.475167,21.979,4.23305,-527199,-1.24544e7,0.2695,6.635,-1.46140,-0.347593
0.485168,21.979,4.37214,-531429,-1.21549e7,0.2783,6.644,-1.47312,-0.554964
0.495166,21.979,4.59391,-536971,-1.16888e7,0.2924,6.658,-1.48848,-0.554964
0.505166,21.979,4.73206,-542695,-1.14685e7,0.3012,6.667,-1.50435,-0.554964
0.515166,21.979,4.89747,-547341,-1.11760e7,0.3118,6.678,-1.51723,-0.554964
0.525167,21.979,5.03623,-552292,-1.09664e7,0.3206,6.687,-1.53095,-0.554964
0.535167,21.979,5.17565,-557136,-1.07646e7,0.3295,6.695,-1.54438,-0.554964
0.545167,21.979,5.31461,-562080,-1.05761e7,0.3383,6.704,-1.55809,-0.554964
0.555167,21.979,5.53620,-566497,-1.02326e7,0.3524,6.718,-1.57033,-0.554964
0.565167,21.979,5.67460,-572843,-1.00949e7,0.3612,6.727,-1.58792,-0.554964
0.575166,21.979,5.83044,-578797,-9927150,0.3712,6.737,-1.60442,-0.554964
0.585166,21.974,5.91916,-582004,-9832540,0.3768,6.743,-1.61331,-0.554964
0.595166,21.974,6.03840,-586763,-9717190,0.3844,6.750,-1.62651,-0.554964
0.605166,21.974,6.17793,-593798,-9611610,0.3933,6.759,-1.64601,-0.554964
0.615167,21.974,6.34518,-597946,-9423630,0.4039,6.770,-1.65751,-0.554964
0.625167,21.974,6.53966,-601447,-9196920,0.4163,6.782,-1.66721,-0.554964
0.635167,21.974,6.71590,-608354,-9058420,0.4275,6.793,-1.68636,-0.554964
