Filename,PCU_A4_NA_6
Instrument name,RSAG2
Operator,
rundate,9/18/2018
proceduresegments,Flow Axial Test
[step]
Axial - 1
Step time,Temperature,Strain,Stress,Modulus,Delta length,Gap,Force,Axial force
s,°C,%,Pa,Pa,mm,mm,N,N
5.16578e-3,22.035,-2.11590e-5,-197404,9.32958e11,-9.537e-7,4.507,-0.547204,0.409263
0.0151660,22.035,-3.17384e-5,-197281,6.21585e11,-1.431e-6,4.507,-0.546864,0.409263
0.0251662,22.035,-5.28974e-5,-197032,3.72480e11,-2.384e-6,4.507,-0.546173,0.409263
0.0351665,22.035,-6.34769e-5,-198210,3.12255e11,-2.861e-6,4.507,-0.549438,0.409263
0.0451667,22.035,-8.46358e-5,-197297,2.33113e11,-3.815e-6,4.507,-0.546906,0.409263
0.0551669,22.035,-9.52153e-5,-196770,2.06658e11,-4.292e-6,4.507,-0.545447,0.409263
0.0651672,22.035,-1.16374e-4,-197059,1.69332e11,-5.245e-6,4.507,-0.546246,0.409263
0.0751674,22.035,-1.26954e-4,-197310,1.55419e11,-5.722e-6,4.507,-0.546943,0.409263
0.0851676,22.033,3.59702e-4,-196942,-5.47513e10,1.621e-5,4.507,-0.545922,0.246975
0.0951659,22.033,1.06853e-3,-197587,-1.84916e10,4.816e-5,4.507,-0.547712,0.246975
0.105166,22.033,1.78793e-3,-197654,-1.10549e10,8.059e-5,4.507,-0.547896,0.246975
0.115166,22.033,2.50734e-3,-202569,-8.07904e9,1.130e-4,4.507,-0.561520,0.246975
0.125167,22.033,0.0230844,-214274,-9.28220e8,1.040e-3,4.508,-0.593968,0.246975
0.135167,22.033,0.0608637,-225449,-3.70415e8,2.743e-3,4.510,-0.624943,0.246975
0.145167,22.033,0.151689,-242127,-1.59621e8,6.837e-3,4.514,-0.671177,0.246975
0.155167,22.033,0.238885,-259079,-1.08453e8,0.01077,4.518,-0.718166,0.246975
0.165168,22.033,0.342204,-275204,-8.04211e7,0.01542,4.523,-0.762866,0.246975
0.175166,22.033,0.459424,-290807,-6.32981e7,0.02071,4.528,-0.806116,0.246975
0.185166,22.033,0.564383,-306096,-5.42356e7,0.02544,4.533,-0.848499,0.246975
0.195166,22.033,0.710539,-319190,-4.49222e7,0.03203,4.539,-0.884794,0.246975
0.205167,22.033,0.956818,-333817,-3.48882e7,0.04313,4.550,-0.925340,0.246975
0.215167,22.033,1.11286,-347322,-3.12100e7,0.05016,4.557,-0.962776,0.246975
0.225167,22.033,1.25385,-360503,-2.87517e7,0.05651,4.564,-0.999314,0.246975
0.235167,22.033,1.50822,-373313,-2.47519e7,0.06798,4.575,-1.03482,0.246975
0.245167,22.033,1.64562,-387377,-2.35399e7,0.07417,4.581,-1.07381,0.246975
